# Repo: stackflow
## Yearly
year,count
2023,16
2024,121
2025,20
## Weekly
week_start,count
2023-11-27,1
2023-12-18,15
2024-01-15,2
2024-01-22,2
2024-01-29,13
2024-02-12,10
2024-05-20,3
2024-05-27,1
2024-07-08,2
2024-07-22,30
2024-07-29,14
2024-08-05,5
2024-08-12,15
2024-08-19,1
2024-09-02,10
2024-09-09,1
2024-09-23,5
2024-10-21,1
2024-11-04,1
2024-11-18,1
2024-12-16,4
2025-01-20,5
2025-02-10,3
2025-02-24,1
2025-03-10,2
2025-03-24,2
2025-04-07,2
2025-05-12,3
2025-05-26,2
## Daily
day,count
2023-12-01,1
2023-12-22,15
2024-01-16,2
2024-01-22,1
2024-01-23,1
2024-01-30,13
2024-02-13,10
2024-05-22,2
2024-05-24,1
2024-05-28,1
2024-07-09,2
2024-07-22,14
2024-07-23,1
2024-07-24,1
2024-07-25,14
2024-07-31,12
2024-08-02,2
2024-08-08,5
2024-08-14,15
2024-08-21,1
2024-09-03,10
2024-09-11,1
2024-09-26,5
2024-10-23,1
2024-11-08,1
2024-11-19,1
2024-12-18,4
2025-01-22,5
2025-02-14,3
2025-02-24,1
2025-03-14,2
2025-03-27,2
2025-04-09,2
2025-05-12,1
2025-05-15,2
2025-05-29,2

# Repo: seed-design
## Yearly
year,count
2021,4
2022,19
2023,28
2024,1
2025,275
## Weekly
week_start,count
2021-10-11,4
2022-03-07,1
2022-10-03,1
2022-11-14,2
2022-11-21,8
2022-11-28,2
2022-12-05,5
2023-01-16,2
2023-02-06,6
2023-02-13,5
2023-02-20,5
2023-03-06,2
2023-04-10,1
2023-04-17,2
2023-04-24,1
2023-05-22,1
2023-07-03,1
2023-07-17,1
2023-07-31,1
2024-01-29,1
2025-02-17,25
2025-02-24,31
2025-03-03,14
2025-03-10,23
2025-03-17,8
2025-03-24,1
2025-04-07,1
2025-04-14,18
2025-04-21,30
2025-04-28,39
2025-05-05,9
2025-05-19,13
2025-05-26,53
2025-06-02,10
## Daily
day,count
2021-10-15,4
2022-03-10,1
2022-10-07,1
2022-11-18,2
2022-11-24,4
2022-11-25,4
2022-11-29,2
2022-12-08,3
2022-12-09,2
2023-01-18,2
2023-02-09,6
2023-02-13,2
2023-02-14,1
2023-02-17,2
2023-02-20,3
2023-02-21,1
2023-02-23,1
2023-03-09,1
2023-03-10,1
2023-04-14,1
2023-04-19,2
2023-04-25,1
2023-05-23,1
2023-07-05,1
2023-07-17,1
2023-07-31,1
2024-01-29,1
2025-02-19,17
2025-02-20,8
2025-02-25,31
2025-03-04,8
2025-03-05,6
2025-03-10,7
2025-03-14,16
2025-03-18,8
2025-03-25,1
2025-04-07,1
2025-04-17,9
2025-04-18,9
2025-04-22,18
2025-04-23,10
2025-04-24,2
2025-04-28,29
2025-04-29,2
2025-05-02,8
2025-05-08,9
2025-05-19,9
2025-05-21,4
2025-05-29,31
2025-05-30,22
2025-06-02,10
